tconst	averageRating	numVotes
tt6197232	5.9	149
tt6400266	7.2	18
tt5873762	7.7	14
tt10224104	9.2	7
tt2702670	6.7	11
tt23624890	7.8	361
tt7078710	7.5	21123
tt12043394	9.2	5
tt0709789	7.0	70
tt1533833	8.2	103
tt5439126	5.4	315
tt0095080	8.1	14
tt12799406	10.0	7
tt7650138	8.1	114
tt0649861	7.7	40
tt2153416	6.4	22
tt0909299	6.2	15
tt15279048	6.7	114
tt8478768	6.3	26
tt7852006	6.0	9
tt7638444	8.3	737
tt0057930	7.0	184
tt12646520	6.8	27
tt15523464	7.8	11
tt1729225	6.9	63
tt6788878	6.1	10
tt2112129	6.4	960
tt0066165	7.1	52
tt0749679	7.4	143
tt0093471	5.8	35
tt4427492	8.3	13
tt2051879	6.4	72597
tt0181017	7.7	19
tt0995049	8.5	35
tt0503800	7.5	87
tt0872344	7.8	90
tt0638380	7.9	459
tt0371746	7.9	1072153
tt1932887	5.6	5
tt6142654	8.3	2513
tt0595119	7.4	506
tt11440422	6.3	220
tt0295255	8.6	30
tt0003388	4.0	11
tt0655446	7.0	294
tt0329372	3.1	26
tt0182296	6.2	62
tt1619573	7.1	43
tt0858582	7.2	129
tt0556916	7.8	18
tt2158215	7.5	245
tt0135553	6.3	23
tt0560315	7.6	139
tt0218867	6.0	26
tt1823738	6.0	9
tt26470034	6.9	10
tt0383358	5.4	21
tt2075316	8.6	13
tt1225286	5.7	8
tt11823016	8.1	57
tt7169096	7.7	10
tt0089599	7.7	1483
tt6979636	8.6	13
tt0082813	6.3	4212
tt1359369	9.0	11
tt7514016	7.3	325
tt22852768	7.6	23
tt0939557	6.2	8
tt0745602	8.9	1306
tt1877193	7.5	64
tt7940174	6.6	13
tt1322868	7.4	20
tt0140405	5.9	27
tt1780798	5.7	25024
tt23326372	9.6	5
tt8856562	7.3	497
tt8151694	7.4	18
tt13480284	8.2	21
tt1166929	7.7	12
tt4630524	7.4	30
tt14187728	7.0	828
tt4126724	7.1	104
tt1498637	6.9	29
tt0359858	6.2	6
tt1110069	5.8	24
tt16266232	6.6	533
tt0596248	6.5	80
tt3606496	5.8	12
tt10763074	7.0	10
tt11748106	9.2	5
tt13258942	8.4	25
tt19394552	9.3	320
tt5709520	8.8	12
tt5797888	7.1	18
tt0157829	7.6	23
tt1177345	6.3	35
tt3699670	8.9	9
tt6559230	5.8	18
tt0684248	7.0	20
tt2076276	6.8	11
tt0872535	8.0	28
tt1956551	7.2	7
tt2080831	8.3	7
tt5648320	8.7	24
tt6509866	6.8	7
tt13779102	5.6	11
tt2071466	6.7	717
tt5343676	8.2	16
tt6304236	9.2	11
tt8109886	8.9	16
tt1871199	3.4	63
tt0107914	4.7	33
tt1053937	7.3	32
tt9373864	4.7	38
tt7134278	8.3	386
tt10340594	8.3	12
tt17515256	6.0	10
tt0081339	6.6	589
tt1129418	8.4	3260
tt11598800	5.5	297
tt5363018	8.5	35
tt3898620	5.9	125
tt1587296	5.8	9
tt21071524	7.9	54
tt13951414	7.4	22
tt8008796	7.6	119
tt27051564	6.0	54
tt0363367	8.9	129
tt0100706	4.8	304
tt14433672	1.2	17
tt2119395	7.4	123
tt5628340	7.2	18
tt8071750	6.8	57
tt7781364	5.7	39
tt6629982	7.7	6
tt8184298	8.3	11
tt0080440	5.8	3980
tt3670172	8.0	11
tt5880388	7.7	10
tt4454458	8.0	8
tt10083910	9.3	6
tt0089210	7.0	42
tt4573254	7.9	318
tt6099600	8.9	22
tt6639882	4.6	295
tt3300716	6.2	9
tt4468600	5.8	295
tt10766932	6.0	34
tt10612628	6.9	57
tt26908191	8.6	247
tt5040810	7.9	105
tt9252794	8.3	40
tt11133210	8.8	5
tt0111885	7.8	68
tt1718742	6.6	11
tt0067041	4.4	37
tt0660008	7.2	111
tt1105122	7.9	2026
tt6006972	7.9	32
tt0757368	4.8	13
tt0210038	6.5	65
tt17512484	6.3	14
tt6736264	8.8	1230
tt9025082	7.7	14
tt11319278	6.1	138
tt5549522	6.8	20
tt1710973	7.4	5
tt4741686	5.4	755
tt0191049	6.1	77
tt2070649	8.0	18519
tt6581848	6.2	7
tt2166216	1.2	145
tt26455455	7.1	16
tt1976517	8.1	1377
tt0831842	7.2	22
tt21822742	7.7	16
tt10102352	7.8	16
tt0681894	9.0	47
tt10128338	6.6	18
tt5089004	7.2	15
tt0129015	4.5	10
tt3892640	7.7	13
tt4404770	7.6	1090
tt12427862	4.0	17
tt7950856	7.2	5
tt0908669	6.9	47
tt7539088	6.0	54
tt2349912	7.5	731
tt8783930	7.7	15602
tt10436268	6.7	7
tt3185094	7.0	8
tt1679708	7.0	30
tt3739552	6.4	13
tt7908116	7.7	59
tt0407876	7.9	109
tt2385266	8.4	1745
tt0160946	8.6	110
tt0786467	7.2	11
tt0509064	7.7	51
tt8318006	6.7	10
tt0004268	5.0	29
tt5073036	9.1	11
tt1544389	7.9	192
tt0394219	5.9	105
tt4673790	6.3	640
tt1908514	4.8	125
tt0603533	7.5	264
tt11801984	9.1	9
tt12762710	7.4	197
tt12689310	7.2	14
tt0316734	7.4	6
tt0130138	5.7	27
tt5664076	4.7	29
tt0257837	6.5	95
tt14061114	4.9	28
tt1270787	7.4	34
tt2132534	6.9	45
tt1465790	7.3	82
tt0778741	8.2	28
tt8400716	5.2	27
tt0654793	8.0	15
tt0795531	6.5	56
tt2769840	8.7	7
tt0254809	3.3	38
tt1369889	5.2	11
tt13828084	7.3	25
tt0971193	9.3	22
tt1712700	7.2	53
tt0491206	6.6	10
tt0390578	6.6	107
tt0615468	6.6	88
tt6835576	8.1	20
tt6532138	6.9	18
tt4696362	8.0	49
tt0857758	7.3	77
tt0046112	6.2	20
tt5238240	6.2	2867
tt2798572	6.5	12
tt2461908	6.0	84
tt0245726	5.6	18
tt3776322	7.7	13
tt3851254	8.3	7
tt4567714	7.7	15
tt1381748	7.8	5
tt2039738	7.7	20
tt13439154	9.0	6
tt10681756	8.6	5
tt5646582	8.0	4113
tt1737567	7.8	66
tt1236514	5.6	16
tt2360179	4.8	22
tt6060088	4.7	19
tt6245034	10.0	28
tt18375442	7.4	6
tt6273808	7.7	18
tt5606058	7.6	176
tt2023098	8.6	6
tt1345740	7.6	3403
tt14986866	8.5	37
tt0846945	8.2	7
tt1878187	8.7	52
tt0452801	6.9	32
tt0348461	4.8	44
tt7351228	3.5	14
tt0038250	6.8	1528
tt8458788	3.4	9
tt7028388	7.5	325
tt0922852	7.3	128
tt0417457	3.7	13
tt0316473	4.6	138
